ward_no,Areaname,income_per_capital,sixteen_plus_unemployed,twenty_plus_without_diploma,population_eighteen_sixtyfour,population_below_poverty,overpopulation,Latitude,Longitude,Icon,IconColor
14,Albany Park,21323,10,32.9,32,19.2,11.3,41.95431,-87.72127,123,Lime
34,Armour Square,16148,16.7,34.5,38.3,40.1,5.7,41.81254,-87.63235,123,Lime
25,Austin,15957,22.6,24.4,37.9,28.6,6.3,41.88665,-87.78705,123,Lime
45,Avalon Park,24454,21.1,10.6,39.3,17.2,1.4,41.7414,-87.55461,123,Lime
21,Avondale,20039,9.2,24.7,31,15.3,6,41.95431,-87.72127,123,Lime
19,Belmont Cragin,15461,14.6,37.3,37.3,18.7,10.8,41.95341,-87.76405,123,Lime
47,Burnside,12515,18.6,19.3,42.7,33,6.8,41.72875,-87.59954,123,Lime
48,Calumet Heights,28887,20,11,44,11.5,2.1,41.7414,-87.55461,123,Lime
44,Chatham,18881,24,14.5,40.3,27.8,3.3,41.72875,-87.59954,123,Lime
35,Douglas,23791,18.2,14.3,30.7,29.6,1.8,41.81107,-87.61681,123,Lime
17,Dunning,26282,10,16.2,33.6,10.6,5.2,41.95341,-87.76405,123,Lime
27,East Garfield Park,12961,19.6,21.3,43.2,42.4,8.2,41.90081,-87.71465,123,Lime
9,Edison Park,40959,6.5,7.4,35.3,3.3,1.1,42.00806,-87.81177,123,Lime
12,Forest Glen,44164,6.8,4.9,40.5,7.5,1.1,41.98988,-87.7583,123,Lime
37,Fuller Park,10432,33.9,26.6,44.9,51.2,3.2,41.81254,-87.63235,123,Lime
38,Grand Boulevard,23472,24.3,15.9,39.5,29.3,3.3,41.81107,-87.61681,123,Lime
20,Hermosa,15089,13.1,41.6,36.4,20.5,6.9,41.92619,-87.73209,123,Lime
23,Humboldt park,13781,17.3,35.4,38,33.9,14.8,41.92619,-87.73209,123,Lime
41,Hyde Park,39056,8.4,4.3,26.2,18.4,1.5,41.79317,-87.59152,123,Lime
16,Irving Park,27249,10,22.4,31.6,13.1,6.3,41.98988,-87.7583,123,Lime
11,Jefferson Park,27751,12.4,13.4,35.5,8.6,2.7,41.98134,-87.75545,123,Lime
39,Kenwood,35911,15.7,11.3,35.4,21.7,2.4,41.81107,-87.61681,123,Lime
6,Lake View,60058,4.7,2.6,17,11.4,1.1,41.94708,-87.65218,123,Lime
7,Lincoln Park,71551,5.1,3.6,21.5,12.3,0.8,41.94708,-87.65218,123,Lime
4,Lincoln Square,37524,8.2,13.4,25.5,10.9,3.4,41.98744,-87.66111,123,Lime
22,Logan Square,31908,8.2,14.8,26.2,16.8,3.2,41.92619,-87.73209,123,Lime
32,Loop,65526,5.7,3.1,13.5,14.7,1.5,41.87714,-87.62204,123,Lime
31,Lower West Side,16444,15.8,40.7,32.6,25.8,9.6,41.84751,-87.66152,123,Lime
18,Montclaire,22014,13.8,23.5,38.6,15.3,8.1,41.92768,-87.79787,123,Lime
8,Near North Side,88669,7,2.5,22.6,12.9,1.9,41.9208,-87.65299,123,Lime
33,Near South Side,59077,4.9,7.4,21.8,13.8,1.3,41.855958,-87.624518,123,Lime
28,Near West Side,44689,10.7,9.6,22.2,20.6,3.8,41.873558,-87.668028,123,Lime
5,North Center,57123,5.2,4.5,26.2,7.5,0.3,41.941651,-87.686387,123,Lime
29,North Lawndale,12034,21.2,27.6,42.7,43.1,7.4,41.85947,-87.714744,123,Lime
13,North Park,26576,9.9,14.4,39,13.2,3.9,41.982944,-87.725894,123,Lime
10,Norwood Park,32875,9,11.5,39.5,5.4,2,41.986001,-87.805938,123,Lime
36,Oakland,19252,28.7,18.4,40.4,39.7,1.3,41.822972,-87.600668,123,Lime
15,Portage Park,24336,12.6,19.3,34,11.6,4.1,41.957344,-87.764491,123,Lime
50,Pullman,20588,22.8,13.1,38.6,21.6,1.5,41.70786,-87.594127,123,Lime
1,Rogers Park,23939,8.7,18.2,27.5,23.6,7.7,42.010688,-87.671321,123,Lime
49,Roseland,17949,20.3,16.9,41.2,19.8,2.5,41.710859,-87.625737,123,Lime
46,South Chicago,16579,19.7,26.6,41.1,29.8,4.7,41.739853,-87.555745,123,Lime
30,South Lawndale,10402,15.8,54.8,33.8,30.7,15.2,41.846251,-87.711094,123,Lime
43,South Shore,19398,20,14,35.7,31.1,2.8,41.758929,-87.571977,123,Lime
3,Uptown,35787,8.9,11.8,22.2,24,3.8,41.966424,-87.654182,123,Lime
40,Washington Park,13785,28.6,25.4,42.8,42.1,5.6,41.79497,-87.615811,123,Lime
26,West Garfield Park,10934,25.8,24.5,43.6,41.7,9.4,41.877816,-87.731829,123,Lime
2,West Ridge,23040,8.8,20.8,38.5,17.2,7.8,42.000541,-87.695291,123,Lime
24,West Town,43198,6.6,12.9,21.7,14.7,2.3,41.89384,-87.674661,123,Lime
42,Woodlawn,18672,23.4,16.5,36.1,30.7,2.9,41.780932,-87.594972,123,Lime